source_id	derivative_id	subject_id	session_id	output_num	output_size	nifti_num	nifti_size	html_num
ds003020	MRIQC-23.0.1	sub-UTS01	ses-1	9	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS01	ses-2	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS01	ses-3	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS01	ses-4	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS01	ses-5	7	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS01	ses-6	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS01	ses-7	1	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS02	ses-1	1	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS02	ses-2	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS02	ses-3	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS02	ses-4	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS02	ses-5	7	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS02	ses-6	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS03	ses-1	8	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS03	ses-2	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS03	ses-3	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS03	ses-4	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS03	ses-5	8	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS03	ses-6	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS04	ses-1	9	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS04	ses-2	7	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS04	ses-3	5	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS04	ses-4	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS04	ses-5	7	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS04	ses-6	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS05	ses-1	9	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS05	ses-2	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS05	ses-3	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS05	ses-4	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS05	ses-5	7	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS05	ses-6	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS05	ses-7	1	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS06	ses-1	9	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS06	ses-2	6	0	0	0	0
ds003020	MRIQC-23.0.1	sub-UTS06	ses-3	6	0	0	0	0
